CarID,CarModel,Price,Mileage,Year,DealerName,DealerRating,Link
1,"Dodge Challenger R/T",26033,63316,2022,"Al Piemonte Buick GMC",4.5,"https://www.cars.com/vehicledetail/59e00c4c-2ef9-4ec4-a420-6d56bce48a87/?attribution_type=premier"
2,"Ford F-150 XLT",36906,40709,2023,"Subaru Port Richey",4.6,"https://www.cars.com/vehicledetail/c1e984c3-8f17-409f-8c05-bf9e8716339f/?attribution_type=isa"
3,"Jeep Wrangler Rubicon",46490,26692,2024,"Grand Junction Chrysler Dodge Jeep",4.7,"https://www.cars.com/vehicledetail/ccd4cf5b-298c-4d47-96b8-749d00d7e39a/"
4,"Chevrolet Silverado 1500 High Country",52689,19320,2024,"Delray Buick GMC",4.8,"https://www.cars.com/vehicledetail/610bd406-a868-4693-bd77-1aa5e07f85aa/"
5,"RAM 2500 Big Horn Crew Cab 4x4 6'4' Box",42300,84605,2022,"Frank Boucher Chrysler Dodge Jeep Ram VW of Janesville",4.8,"https://www.cars.com/vehicledetail/2e304250-a1ba-4bf6-b796-e4ab0fd91aaa/"
6,"Toyota Camry LE",13992,61660,2012,"East Madison Toyota",4.8,"https://www.cars.com/vehicledetail/74b88572-a8f2-4217-a613-42cf7592259d/"
7,"Mazda Mazda3 Premium",18800,41918,2021,"Ocean Mazda",4.9,"https://www.cars.com/vehicledetail/a5a416dc-b518-4d3b-98f4-44c8e44bc6f4/"
8,"Buick Envision Essence",22996,37587,2021,"Mike Murphy Ford",4.9,"https://www.cars.com/vehicledetail/dab59564-6f22-4c10-a305-d0fe7dde8a6c/"
9,"Volkswagen Atlas 2.0T SEL",25490,55587,2023,"Bomnin Chevrolet Dadeland",4.8,"https://www.cars.com/vehicledetail/e08bed81-6ad6-4bb1-ba9c-cb7d8613327b/"
10,"Chrysler Pacifica Limited",38000,43225,2025,"Van Horn Chrysler Dodge Jeep Ram Fiat of Plymouth",4.8,"https://www.cars.com/vehicledetail/99273c0e-9970-47a7-a0b7-83e97e6678a7/"
11,"Acura RDX Technology Package",8952,148236,2015,"Murdock Hyundai Lindon",4.1,"https://www.cars.com/vehicledetail/4517c638-7e07-40e3-93c6-33d85d3edc3d/"
12,"Kia Telluride EX",34861,41508,2024,"Fort Wayne Kia",4.1,"https://www.cars.com/vehicledetail/d7855993-ec4d-421b-b194-f400e18b92f2/"
13,"GMC Yukon Denali Ultimate",73999,56619,2024,"Blade Chevrolet",4.8,"https://www.cars.com/vehicledetail/a2a12a9e-8cab-46d1-b549-77cc7886dd18/"
14,"Nissan Altima 2.5 SV",19995,50933,2023,"Lithia Hyundai Of Anchorage",4.3,"https://www.cars.com/vehicledetail/67b014b8-bc9d-4d7e-b024-00218e179dd9/"
15,"Ford F-150 XL",30777,19012,2023,"Murray Ford Superstore",4.8,"https://www.cars.com/vehicledetail/7af68957-cdd1-4ae2-94a2-5dc88d903a12/"
16,"BMW X3 xDrive30i",21448,67338,2020,"Merchants Automotive Group",4.5,"https://www.cars.com/vehicledetail/fd8a131b-facb-4fa4-bfb7-bb619d9c9585/"
17,"GMC Sierra 1500 Elevation",39000,36042,2024,"Grubbs CDJR of Wichita Falls",4.4,"https://www.cars.com/vehicledetail/6d48cfa1-3aba-4ffb-a8e1-7e1979ddf98a/"
18,"GMC Sierra 1500 Denali Ultimate",61282,39080,2024,"Lake Chevrolet",4.5,"https://www.cars.com/vehicledetail/2e8aa9d1-7a11-4cb2-b00a-f87fb534a17c/?attribution_type=isa"
19,"RAM 2500 Big Horn",52990,22265,2024,"Yark Chrysler Dodge Jeep Ram",4.7,"https://www.cars.com/vehicledetail/7d382ea7-176b-4ee4-9bde-08c2eb696658/"
20,"Toyota Camry SE",19998,89866,2023,"Portage Chrysler Dodge Jeep Ram",4.6,"https://www.cars.com/vehicledetail/95727c0e-a74a-43c9-8dae-a2d7d8a7a334/"
21,"Toyota Camry SE",19499,51449,2024,"North Coast Mitsubishi of Akron",4.5,"https://www.cars.com/vehicledetail/9655fc63-1d8a-406a-9ee4-f2b318fc282b/"
22,"Volkswagen Tiguan 2.0T S 4MOTION",22000,32891,2024,"Napleton Hyundai, Genesis of Hazelwood",4.4,"https://www.cars.com/vehicledetail/ade04693-4b85-420b-acf1-63bdef9cbc94/"
23,"Audi Q7 55 Premium Plus",22835,80299,2020,"Wiz Autos",4.3,"https://www.cars.com/vehicledetail/4f18b196-7b08-48b9-b37c-b72e55fad60f/"
24,"Porsche 911 Targa 4 GTS",205500,1864,2024,"Motorcarsonline.com Lansing",4.5,"https://www.cars.com/vehicledetail/d158ba49-e5ef-4b11-a0f5-452242bef722/"
25,"Nissan Rogue S",20500,61118,2024,"Jim Butler Chevrolet",4.3,"https://www.cars.com/vehicledetail/ce528e68-3116-46de-b9fa-76bc587e4b09/"
26,"MINI Hardtop Signature",24300,30605,2024,"MINI of St. Louis",4.9,"https://www.cars.com/vehicledetail/ef86716b-3c5c-43c3-9ab1-587377f5bc04/"
27,"Nissan Rogue SV",23775,40461,2023,"Suntrup Nissan",4.8,"https://www.cars.com/vehicledetail/6f14c4aa-cfd9-470c-bc77-2a99fa5cfbd6/"
28,"Nissan Altima SR AWD",23693,15720,2025,"North Coast Mitsubishi Bedford",4.5,"https://www.cars.com/vehicledetail/0efe5b71-54aa-4fb8-b3a5-9e509ca85475/"
29,"Chrysler Pacifica Touring-L",28729,51764,2024,"Spitzer Jeep RAM Brook Park",4.5,"https://www.cars.com/vehicledetail/1c9ce59a-b285-404f-9729-7f5bd12c9481/?attribution_type=isa"
30,"Acura MDX Base",50995,2858,2026,"White Bear Subaru",4.8,"https://www.cars.com/vehicledetail/4c95769c-998f-4cf2-98b1-0144f652bf2b/"
31,"Jeep Grand Cherokee Sterling Edition",18975,82860,2018,RAVMOTORS,4.8,"https://www.cars.com/vehicledetail/99163a0a-c49b-4f7f-82af-18a4893c1733/"
32,"Hyundai SANTA FE Calligraphy",24999,46008,2021,"Metropolitan Ford of Eden Prairie",4.4,"https://www.cars.com/vehicledetail/d3cdcce1-be89-4b36-8634-3cbab3aa68c3/"
33,"Honda Accord EX 1.5T",24575,48983,2020,"Superior Honda of Omaha",4.8,"https://www.cars.com/vehicledetail/339ffe00-7581-4872-9fa8-751593647f0a/"
34,"GMC Sierra 1500 Elevation",42360,13291,2024,"Spitzer Ford DuBois",4.6,"https://www.cars.com/vehicledetail/e8d7e41c-0a92-4935-9d61-da39c3ba4186/"
35,"RAM 1500 Laramie",21998,102461,2019,"Audi Lakeland",4.9,"https://www.cars.com/vehicledetail/9d89a8fa-749e-4ae6-8de6-2571070a0e11/?attribution_type=isa"
36,"Ford Mustang EcoBoost",27531,24449,2025,"Ramey Ford of Princeton",4.6,"https://www.cars.com/vehicledetail/4aa90638-da0b-4232-af61-12f725cb9cd2/"
37,"Subaru Outback Wilderness",39497,3377,2025,"CMA's Valley Subaru",4.7,"https://www.cars.com/vehicledetail/093e4812-12b9-425a-be9d-cd6c442d3e48/"
38,"MINI Countryman Cooper S ALL4",39097,2785,2025,"Century BMW",4.8,"https://www.cars.com/vehicledetail/9414ec79-576d-4d2a-9a84-5393082b40db/"
39,"Chrysler Pacifica Limited",32995,37582,2023,"Luther Family Buick GMC",4.6,"https://www.cars.com/vehicledetail/9b58a8c3-eecd-4bce-9557-d536a69a7472/"
40,"Dodge Charger SXT",20795,58703,2021,"Nissan of Richmond",4.5,"https://www.cars.com/vehicledetail/725cd80b-230c-4913-9379-f1a4aefe86c7/"
41,"Toyota Tacoma SR",24569,60664,2023,"Wayne Akers Ford",4.5,"https://www.cars.com/vehicledetail/eca06891-e54b-4742-b207-a25276300182/?attribution_type=isa"
42,"Chrysler Pacifica Limited",29495,57935,2023,"Nissan of Richmond",4.5,"https://www.cars.com/vehicledetail/c6fd6a26-3bec-4a2a-beaa-94e3d622d054/"
43,"Lincoln Aviator Reserve",27899,72852,2020,"Hyundai Montgomery",4.6,"https://www.cars.com/vehicledetail/67f941ab-49a6-4631-bd90-6cee077c9fb0/"
44,"Kia Sorento SX",22646,102251,2022,"Utter Family of Dealerships",4.3,"https://www.cars.com/vehicledetail/7696c51f-de3e-4a56-a16d-b8cbfa007a74/"
45,"Jeep Grand Cherokee Trailhawk",20184,100658,2020,"Oakley Auto World",4.9,"https://www.cars.com/vehicledetail/58933110-a87f-4ac8-a335-ff4eede26715/"
46,"Kia Sorento EX",25991,47956,2023,"Freedom Chrysler Dodge Jeep Ram North by Ed Morse",4.7,"https://www.cars.com/vehicledetail/34392f99-38ef-48c1-b166-ad82b4967610/"
47,"Audi Q7 55 Premium Plus",28995,67945,2021,"J & M Automotive",4.9,"https://www.cars.com/vehicledetail/8ad90764-cdf1-4279-b25a-d77dfe802441/"
48,"Acura MDX 3.5L",18500,68358,2015,"Stonebriar Chevrolet",4.1,"https://www.cars.com/vehicledetail/621ccdbf-876e-48aa-9d7e-bd25a5caeb60/"
49,"Dodge Charger Scat Pack",47779,27842,2022,"Frisco Chrysler Dodge Jeep Ram",4.5,"https://www.cars.com/vehicledetail/43fe705e-53c1-4198-ab31-c6eeae21ba9e/"
50,"Dodge Charger R/T",28977,85312,2022,"Mandal Buick GMC Inc.",4.6,"https://www.cars.com/vehicledetail/bd4f62a2-7b22-45fd-bc89-f2b7a13b01c1/"
51,"Nissan Altima SR",23981,15862,2025,"Gates of Granger",4.6,"https://www.cars.com/vehicledetail/f6f27bdf-3fa0-491f-8d43-5f63a4901291/"
52,"Toyota Camry LE",17225,85353,2019,"AutoNation Honda Lewisville",4.7,"https://www.cars.com/vehicledetail/5893458a-9f42-4d4a-a330-aa7bb4a70edd/"
53,"BMW X3 xDrive30i",28629,60948,2022,"Boucher Chevrolet of Waukesha",4.6,"https://www.cars.com/vehicledetail/72517720-e052-41ce-a505-584891e73666/"
54,"Cadillac XT5 Premium Luxury",32990,40123,2024,"Bill Hood Ford",4.6,"https://www.cars.com/vehicledetail/09bbc3b3-fc92-40c8-b8b7-cc128c4bbd2d/"
55,"Hyundai SANTA FE SEL 2.4",24900,25022,2023,"Werner Hyundai",4.8,"https://www.cars.com/vehicledetail/f8687e4e-e2c6-4031-bd2c-7cd5d14e538c/"
56,"Volkswagen Tiguan 2.0T SE",15499,55092,2022,"Florida Fine Cars WPB",4.8,"https://www.cars.com/vehicledetail/8b2c067a-1731-4c41-b13b-70a5a17dc108/"
57,"Kia Telluride EX",21990,81624,2021,"AutoNation Ford Westlake",4.7,"https://www.cars.com/vehicledetail/6cac0ddb-b289-4996-be32-2855dde2fe8f/"
58,"Jaguar F-TYPE P450 R-Dynamic",63850,2499,2023,"Land Rover Warwick",4.8,"https://www.cars.com/vehicledetail/82ef85ac-c9a6-4c53-bbbc-cfa8ebb2c3df/"
59,"GMC Sierra 1500 Pro",29990,23964,2023,"Bomnin Chrysler Dodge Jeep Ram",4.8,"https://www.cars.com/vehicledetail/a6ecb13c-1dd4-42a6-b643-87a7ecce22c1/"
60,"Mercedes-Benz E-Class 4MATIC",27998,41002,2018,"Rodman Ford",4.7,"https://www.cars.com/vehicledetail/ddb30f70-a470-467d-a372-f6ee566815b1/"
61,"Subaru Outback Premium",23000,41739,2024,"AutoMax Preowned Framingham",4.6,"https://www.cars.com/vehicledetail/d8614b2e-7944-4e0f-9032-e76c3b587afe/"
62,"Chrysler Pacifica Limited",37999,38455,2025,"Pearl Chrysler Dodge Jeep RAM",4.7,"https://www.cars.com/vehicledetail/baa4f013-e925-441d-9fb3-adef2b8543e5/"
63,"Ford F-150 Platinum",25490,104924,2018,"Bourne's Auto Center",4.9,"https://www.cars.com/vehicledetail/446a5e4c-46d1-4366-bef5-13a5cd1c23d0/"
64,"Alfa Romeo Giulia Sprint",23895,11803,2022,"Elmwood Chrysler Dodge Jeep RAM",4.9,"https://www.cars.com/vehicledetail/2511fb77-269e-4200-a470-034c293f0085/"
65,"Jeep Grand Cherokee Limited",11495,115702,2015,"Atlantic Coast Acura",4.8,"https://www.cars.com/vehicledetail/76dd6863-0c43-448c-8c4d-a562e07d5772/"
66,"Hyundai PALISADE Calligraphy Night Edition",45250,8665,2025,"Hyundai Montgomery",4.6,"https://www.cars.com/vehicledetail/20c2446f-013b-4e27-bbc3-960aca2195b7/"
67,"Volvo XC60 B5 Plus",37865,14898,2025,"Volvo Cars Mall of Georgia",4.6,"https://www.cars.com/vehicledetail/c7fa0e49-b488-4d4a-ad27-29d5ab01a77e/"
68,"Dodge Charger SXT",17980,63282,2023,"Mazda of Gainesville",4.3,"https://www.cars.com/vehicledetail/678a8559-9646-4e89-8953-9feb1d9ce137/"
69,"Jeep Wrangler Sport S",33069,35143,2024,"Courtesy Ford",4.6,"https://www.cars.com/vehicledetail/0e5bce5b-ad6d-410a-b5a5-4edfd0baa8df/"
70,"Genesis GV70 2.5T AWD",36225,21203,2025,"Bryan College Station Toyota",4.7,"https://www.cars.com/vehicledetail/197b1d08-5408-4dfb-8f58-f6d06b544dcc/"
71,"RAM 2500 Big Horn",34838,71609,2017,"Jim Butler Linn Chevrolet",4.7,"https://www.cars.com/vehicledetail/9c171c2b-37d1-4922-9314-a48443b5df02/"
72,"RAM 1500 TRX",98891,19531,2024,"Porsche North Houston",4.9,"https://www.cars.com/vehicledetail/e8174f2f-1110-4015-af81-258702e161af/"
73,"Chevrolet Silverado 1500 LTZ",31207,70954,2021,"Jim Browne Chrysler Dodge Jeep RAM of Dade City",4.8,"https://www.cars.com/vehicledetail/5a49e17f-5929-410f-b681-6efcf5e15fc2/"
74,"RAM 1500 TRX",77277,27506,2022,"Classic Honda of Midland",4.8,"https://www.cars.com/vehicledetail/ff50473a-3b94-487c-83f3-f0d7a01e8f3d/"
75,"Nissan Altima 2.5 SV",21990,49511,2024,"Ramey Ford of Princeton",4.6,"https://www.cars.com/vehicledetail/78ead028-48c1-4f11-9e50-a9ee3805259b/"
76,"Kia Telluride S",24900,72480,2023,"BMW MINI of Annapolis",4.6,"https://www.cars.com/vehicledetail/78cce3e5-d26d-4877-8ae5-d47860d41356/"
77,"Chevrolet Corvette Stingray w/3LT",73990,5005,2021,"Gillespie Ford",4.9,"https://www.cars.com/vehicledetail/7f805e96-1097-45da-ae05-9509411d53c0/"
78,"Ford Mustang EcoBoost Premium",24900,59753,2021,"Serra Toyota of Decatur",4.8,"https://www.cars.com/vehicledetail/cb9b23cf-9292-4110-ae2f-1f80200da53e/"
79,"Chevrolet Silverado 1500 LT Trail Boss",50999,13564,2024,"Dennis Sneed Ford",4,"https://www.cars.com/vehicledetail/180df335-8c2b-4991-8768-31e2e7145838/"
80,"Jeep Grand Cherokee High Altitude",20600,65510,2021,"Arrigo Chrysler Dodge Jeep Ram of Margate",4.4,"https://www.cars.com/vehicledetail/d57f8e33-5c98-413b-80c6-0debee7cbdf2/"
81,"Toyota Camry SE",20899,51722,2021,"David McDavid Lincoln Frisco",4.6,"https://www.cars.com/vehicledetail/9fb4468d-48f0-45d2-a4ec-1764840f8eda/"
82,"INEOS Grenadier",58298,27880,2024,"AutoNation Chrysler Dodge Jeep Ram Katy",4.2,"https://www.cars.com/vehicledetail/1887516d-050a-4575-8a9a-87e049754313/"
83,"Volkswagen Tiguan 2.0T SE 4MOTION",18966,57422,2018,"Dean Team Volkswagen Subaru of Ballwin",4.9,"https://www.cars.com/vehicledetail/4fa04fce-756a-4015-b4ba-8a1ea08ac656/"
84,"Audi Q5 2.0T Premium",50625,4499,2025,"O'Daniel CDJR Audi Porsche",4.9,"https://www.cars.com/vehicledetail/f7df101e-99c6-43f6-af21-8d21f64f6b58/"
85,"Buick Envision Essence FWD",20990,60829,2023,"Empire Ford Inc.",4,"https://www.cars.com/vehicledetail/b478f2f9-34ed-4e5a-b8b5-6bfb2a378c95/"
86,"GMC Sierra 1500 Denali",19900,147581,2015,"Subaru of Gwinnett",4.6,"https://www.cars.com/vehicledetail/ea06ab78-b770-4790-a0c7-5ad3f280917a/"
87,"GMC Sierra 1500 Denali",27499,104964,2017,"Metropolitan Ford of Eden Prairie",4.4,"https://www.cars.com/vehicledetail/b38800aa-05d7-4204-a9f7-ea26820f705d/"
