Car Name,Price,Mileage,Dealer Name,Dealer Rating,Car Link
Used 2022 Dodge Challenger R/T,"$26,033","63,316 mi.",Al Piemonte Buick GMC,4.5,https://www.cars.com/vehicledetail/59e00c4c-2ef9-4ec4-a420-6d56bce48a87/?attribution_type=premier
Used 2023 Ford F-150 XLT,"$36,906","40,709 mi.",Subaru Port Richey,4.6,https://www.cars.com/vehicledetail/c1e984c3-8f17-409f-8c05-bf9e8716339f/?attribution_type=isa
Used 2022 RAM 2500 Big Horn Crew Cab 4x4 6'4' Box,"$42,300","84,605 mi.",Frank Boucher Chrysler Dodge Jeep Ram VW of Janesville,4.8,https://www.cars.com/vehicledetail/2e304250-a1ba-4bf6-b796-e4ab0fd91aaa/
Used 2012 Toyota Camry LE,"$13,992","61,660 mi.",East Madison Toyota,4.8,https://www.cars.com/vehicledetail/74b88572-a8f2-4217-a613-42cf7592259d/
Used 2021 Buick Envision Essence,"$22,996","37,587 mi.",Mike Murphy Ford,4.9,https://www.cars.com/vehicledetail/dab59564-6f22-4c10-a305-d0fe7dde8a6c/
Certified 2025 Chrysler Pacifica Limited,"$38,000","43,225 mi.",Van Horn Chrysler Dodge Jeep Ram Fiat of Plymouth,4.8,https://www.cars.com/vehicledetail/99273c0e-9970-47a7-a0b7-83e97e6678a7/
Certified 2024 Kia Telluride EX,"$34,861","41,508 mi.",Fort Wayne Kia,4.1,https://www.cars.com/vehicledetail/d7855993-ec4d-421b-b194-f400e18b92f2/
Used 2024 GMC Sierra 1500 Denali Ultimate,"$61,282","39,080 mi.",Lake Chevrolet,4.5,https://www.cars.com/vehicledetail/2e8aa9d1-7a11-4cb2-b00a-f87fb534a17c/?attribution_type=isa
Used 2023 Toyota Camry SE,"$19,998","89,866 mi.",Portage Chrysler Dodge Jeep Ram,4.6,https://www.cars.com/vehicledetail/95727c0e-a74a-43c9-8dae-a2d7d8a7a334/
Used 2024 Volkswagen Tiguan 2.0T S 4MOTION,"$22,000","32,891 mi.","Napleton Hyundai, Genesis of Hazelwood",4.4,https://www.cars.com/vehicledetail/ade04693-4b85-420b-acf1-63bdef9cbc94/
Used 2024 MINI Hardtop Signature,"$24,300","30,605 mi.",MINI of St. Louis,4.9,https://www.cars.com/vehicledetail/ef86716b-3c5c-43c3-9ab1-587377f5bc04/
Used 2023 Nissan Rogue SV,"$23,775","40,461 mi.",Suntrup Nissan,4.8,https://www.cars.com/vehicledetail/6f14c4aa-cfd9-470c-bc77-2a99fa5cfbd6/
Used 2025 Nissan Altima SR AWD,"$23,693","15,720 mi.",North Coast Mitsubishi Bedford,4.5,https://www.cars.com/vehicledetail/0efe5b71-54aa-4fb8-b3a5-9e509ca85475/
Certified 2024 Chrysler Pacifica Touring-L,"$28,729","51,764 mi.",Spitzer Jeep RAM Brook Park,4.5,https://www.cars.com/vehicledetail/1c9ce59a-b285-404f-9729-7f5bd12c9481/?attribution_type=isa
Used 2026 Acura MDX Base,"$50,995","2,858 mi.",White Bear Subaru,4.8,https://www.cars.com/vehicledetail/4c95769c-998f-4cf2-98b1-0144f652bf2b/
Used 2018 Jeep Grand Cherokee Sterling Edition,"$18,975","82,860 mi.",RAVMOTORS,4.8,https://www.cars.com/vehicledetail/99163a0a-c49b-4f7f-82af-18a4893c1733/
Used 2021 Hyundai SANTA FE Calligraphy,"$24,999","46,008 mi.",Metropolitan Ford of Eden Prairie,4.4,https://www.cars.com/vehicledetail/d3cdcce1-be89-4b36-8634-3cbab3aa68c3/
Used 2020 Honda Accord EX 1.5T,"$24,575","48,983 mi.",Superior Honda of Omaha,4.8,https://www.cars.com/vehicledetail/339ffe00-7581-4872-9fa8-751593647f0a/
Used 2024 GMC Sierra 1500 Elevation,"$42,360","13,291 mi.",Spitzer Ford DuBois,4.6,https://www.cars.com/vehicledetail/e8d7e41c-0a92-4935-9d61-da39c3ba4186/
Used 2019 RAM 1500 Laramie,"$21,998","102,461 mi.",Audi Lakeland,4.9,https://www.cars.com/vehicledetail/9d89a8fa-749e-4ae6-8de6-2571070a0e11/?attribution_type=isa
Used 2025 Ford Mustang EcoBoost,"$27,531","24,449 mi.",Ramey Ford of Princeton,4.6,https://www.cars.com/vehicledetail/4aa90638-da0b-4232-af61-12f725cb9cd2/
Certified 2025 Subaru Outback Wilderness,"$39,497","3,377 mi.",CMA's Valley Subaru,4.7,https://www.cars.com/vehicledetail/093e4812-12b9-425a-be9d-cd6c442d3e48/
Used 2025 MINI Countryman Cooper S ALL4,"$39,097","2,785 mi.",Century BMW,4.8,https://www.cars.com/vehicledetail/9414ec79-576d-4d2a-9a84-5393082b40db/
Used 2023 Chrysler Pacifica Limited,"$32,995","37,582 mi.",Luther Family Buick GMC,4.6,https://www.cars.com/vehicledetail/9b58a8c3-eecd-4bce-9557-d536a69a7472/
Used 2021 Dodge Charger SXT,"$20,795","58,703 mi.",Nissan of Richmond,4.5,https://www.cars.com/vehicledetail/725cd80b-230c-4913-9379-f1a4aefe86c7/
Certified 2023 Toyota Tacoma SR,"$24,569","60,664 mi.",Wayne Akers Ford,4.5,https://www.cars.com/vehicledetail/eca06891-e54b-4742-b207-a25276300182/?attribution_type=isa
